ReviewDate,Sentiment,ReviewCount
2005-02-08,Positive,2
2006-09-18,Positive,1
2006-11-13,Positive,1
2006-12-17,Positive,1
2007-01-09,Negative,1
2007-01-11,Positive,2
2007-01-16,Positive,1
2007-01-20,Neutral,1
2007-02-16,Neutral,1
2007-03-08,Positive,2
2007-03-10,Neutral,1
2007-03-10,Positive,1
2007-03-14,Negative,1
2007-03-24,Positive,1
2007-03-28,Positive,2
2007-03-30,Positive,1
2007-04-03,Positive,1
2007-04-30,Positive,1
2007-05-04,Positive,1
2007-05-12,Positive,2
2007-05-27,Neutral,1
2007-05-28,Positive,1
2007-06-01,Positive,1
2007-06-12,Positive,1
2007-06-13,Positive,1
2007-06-17,Positive,1
2007-07-03,Positive,1
2007-07-10,Negative,1
2007-07-12,Neutral,1
2007-07-12,Positive,1
2007-07-14,Positive,1
2007-07-16,Positive,1
2007-07-22,Positive,1
2007-07-28,Positive,1
2007-07-30,Positive,1
2007-08-09,Positive,1
2007-08-10,Positive,1
2007-08-11,Neutral,1
2007-08-12,Positive,1
2007-08-22,Positive,1
2007-09-03,Positive,1
2007-09-09,Positive,1
2007-09-25,Positive,1
2007-09-27,Positive,1
2007-09-30,Neutral,1
2007-10-03,Positive,1
2007-10-07,Positive,2
2007-10-15,Positive,1
2007-10-19,Positive,1
2007-10-27,Positive,1
2007-11-06,Positive,1
2007-11-14,Positive,1
2007-11-15,Negative,1
2007-11-27,Negative,1
2007-12-04,Positive,2
2007-12-18,Positive,1
2007-12-19,Positive,1
2007-12-21,Neutral,1
2007-12-21,Positive,1
2007-12-29,Positive,2
2007-12-31,Positive,2
2008-01-06,Neutral,1
2008-01-06,Positive,1
2008-01-12,Neutral,1
2008-01-13,Neutral,1
2008-01-13,Positive,1
2008-01-18,Positive,1
2008-01-19,Positive,1
2008-01-27,Negative,1
2008-01-27,Positive,1
2008-01-30,Positive,1
2008-02-05,Positive,1
2008-02-11,Positive,1
2008-02-12,Positive,1
2008-02-17,Positive,1
2008-02-19,Negative,1
2008-02-20,Positive,1
2008-02-22,Positive,2
2008-02-24,Positive,1
2008-02-26,Positive,1
2008-03-11,Neutral,1
2008-03-28,Positive,1
2008-03-30,Positive,1
2008-04-02,Positive,1
2008-04-05,Negative,1
2008-04-06,Positive,1
2008-04-08,Positive,1
2008-04-20,Positive,1
2008-04-24,Positive,1
2008-04-27,Positive,1
2008-04-28,Positive,1
2008-04-29,Positive,1
2008-05-02,Positive,4
2008-05-08,Positive,1
2008-05-11,Positive,1
2008-05-15,Negative,1
2008-05-22,Positive,1
2008-05-25,Positive,1
2008-05-30,Positive,1
2008-06-03,Positive,2
2008-06-11,Neutral,1
2008-06-20,Negative,1
2008-06-21,Negative,1
2008-06-21,Positive,2
2008-06-22,Neutral,1
2008-06-24,Positive,1
2008-06-28,Positive,1
2008-06-29,Positive,1
2008-06-30,Negative,1
2008-07-03,Positive,1
2008-07-04,Positive,2
2008-07-05,Positive,2
2008-07-06,Negative,1
2008-07-06,Positive,2
2008-07-08,Negative,1
2008-07-08,Positive,2
2008-07-09,Negative,1
2008-07-10,Positive,1
2008-07-14,Positive,2
2008-07-16,Positive,1
2008-07-21,Positive,1
2008-07-26,Positive,2
2008-07-28,Positive,3
2008-07-29,Positive,1
2008-07-30,Positive,2
2008-08-02,Positive,1
2008-08-04,Positive,1
2008-08-06,Positive,1
2008-08-15,Positive,1
2008-08-18,Positive,1
2008-08-23,Negative,1
2008-08-24,Positive,1
2008-08-27,Positive,1
2008-08-31,Positive,2
2008-09-01,Negative,1
2008-09-07,Positive,1
2008-09-11,Positive,1
2008-09-12,Neutral,1
2008-09-15,Positive,1
2008-10-03,Positive,1
2008-10-22,Negative,1
2008-11-03,Positive,1
2008-11-10,Positive,1
2008-11-17,Negative,1
2008-11-29,Negative,1
2008-12-01,Positive,1
2008-12-02,Positive,1
2008-12-16,Positive,1
2008-12-30,Positive,1
2009-01-07,Positive,1
2009-01-10,Positive,1
2009-01-11,Positive,1
2009-01-12,Positive,3
2009-01-15,Positive,1
2009-01-20,Neutral,1
2009-01-27,Positive,1
2009-01-31,Negative,1
2009-02-03,Positive,1
2009-02-17,Positive,1
2009-02-18,Positive,1
2009-02-19,Negative,1
2009-02-25,Positive,1
2009-02-27,Positive,1
2009-03-04,Positive,2
2009-03-07,Neutral,1
2009-03-07,Positive,1
2009-03-15,Positive,1
2009-03-18,Positive,1
2009-03-25,Negative,1
2009-03-29,Positive,1
2009-03-31,Positive,1
2009-04-06,Negative,1
2009-04-18,Positive,1
2009-04-21,Positive,1
2009-04-26,Positive,1
2009-05-01,Positive,1
2009-05-11,Positive,1
2009-05-14,Positive,1
2009-05-19,Positive,1
2009-05-24,Positive,1
2009-05-31,Positive,2
2009-06-02,Positive,1
2009-06-03,Positive,2
2009-06-11,Positive,2
2009-06-15,Neutral,1
2009-06-15,Positive,3
2009-06-16,Positive,3
2009-06-20,Negative,1
2009-07-01,Positive,1
2009-07-04,Negative,1
2009-07-04,Positive,1
2009-07-06,Positive,1
2009-07-14,Positive,1
2009-07-17,Negative,1
2009-07-18,Positive,1
2009-07-27,Positive,1
2009-07-30,Neutral,1
2009-08-01,Positive,1
2009-08-02,Negative,1
2009-08-04,Positive,2
2009-08-05,Positive,1
2009-08-12,Positive,1
2009-08-14,Positive,1
2009-08-15,Positive,1
2009-08-19,Positive,1
2009-08-21,Negative,1
2009-08-26,Neutral,1
2009-09-02,Positive,1
2009-09-03,Positive,1
2009-09-05,Positive,1
2009-09-12,Negative,1
2009-09-12,Positive,1
2009-09-24,Positive,2
2009-09-27,Negative,1
2009-10-01,Positive,1
2009-10-11,Positive,1
2009-10-13,Positive,1
2009-10-16,Neutral,2
2009-10-16,Positive,1
2009-10-21,Positive,1
2009-10-22,Positive,1
2009-10-24,Positive,1
2009-10-26,Positive,1
2009-11-01,Positive,1
2009-11-03,Positive,1
2009-11-11,Positive,2
2009-11-13,Positive,1
2009-11-14,Positive,1
2009-11-16,Positive,1
2009-11-19,Negative,1
2009-11-19,Positive,1
2009-11-20,Neutral,1
2009-11-26,Positive,1
2009-11-27,Positive,1
2009-11-29,Positive,1
2009-11-30,Positive,1
2009-12-05,Neutral,1
2009-12-06,Positive,2
2009-12-15,Positive,1
2009-12-22,Positive,1
2009-12-23,Positive,1
2009-12-25,Neutral,1
2009-12-26,Positive,1
2009-12-29,Negative,1
2009-12-29,Positive,1
2009-12-30,Positive,1
2010-01-01,Neutral,1
2010-01-05,Negative,1
2010-01-05,Positive,1
2010-01-09,Neutral,1
2010-01-11,Positive,1
2010-01-17,Negative,1
2010-01-20,Positive,2
2010-01-21,Positive,1
2010-01-22,Positive,1
2010-01-25,Positive,1
2010-01-30,Positive,1
2010-01-31,Negative,1
2010-02-01,Positive,1
2010-02-04,Positive,1
2010-02-07,Negative,1
2010-02-07,Positive,1
2010-02-09,Positive,1
2010-02-12,Positive,1
2010-02-14,Positive,1
2010-02-16,Positive,1
2010-02-21,Positive,1
2010-02-22,Positive,1
2010-02-26,Neutral,1
2010-03-01,Positive,1
2010-03-07,Positive,1
2010-03-09,Positive,1
2010-03-11,Positive,2
2010-03-12,Positive,2
2010-03-15,Positive,1
2010-03-21,Positive,2
2010-03-22,Negative,1
2010-03-31,Negative,1
2010-04-01,Positive,1
2010-04-05,Positive,2
2010-04-11,Positive,1
2010-04-15,Positive,1
2010-04-18,Neutral,1
2010-04-19,Positive,1
2010-04-26,Negative,1
2010-04-27,Positive,1
2010-04-28,Positive,1
2010-04-29,Positive,1
2010-05-05,Negative,1
2010-05-17,Positive,1
2010-05-19,Positive,1
2010-05-25,Negative,1
2010-05-26,Positive,1
2010-05-28,Negative,1
2010-05-29,Positive,1
2010-06-02,Positive,1
2010-06-10,Positive,1
2010-06-11,Positive,1
2010-06-13,Positive,1
2010-06-16,Negative,1
2010-06-17,Positive,1
2010-06-24,Neutral,1
2010-06-24,Positive,1
2010-06-27,Negative,1
2010-07-02,Neutral,1
2010-07-05,Positive,1
2010-07-06,Neutral,1
2010-07-07,Neutral,1
2010-07-07,Positive,1
2010-07-09,Positive,1
2010-07-10,Positive,1
2010-07-12,Negative,1
2010-07-14,Negative,1
2010-07-27,Positive,1
2010-07-29,Positive,1
2010-07-31,Neutral,1
2010-07-31,Positive,1
2010-08-01,Positive,1
2010-08-03,Positive,1
2010-08-04,Negative,1
2010-08-09,Negative,1
2010-08-12,Positive,1
2010-08-13,Positive,1
2010-08-19,Positive,1
2010-08-22,Negative,1
2010-08-23,Positive,1
2010-08-24,Negative,1
2010-08-27,Positive,1
2010-08-31,Positive,1
2010-09-01,Positive,1
2010-09-03,Neutral,1
2010-09-03,Positive,1
2010-09-05,Positive,1
2010-09-07,Positive,2
2010-09-12,Negative,1
2010-09-12,Positive,1
2010-09-13,Positive,1
2010-09-16,Positive,1
2010-09-17,Positive,2
